document	type	name	value
000_ef_bb_bf.bin	Float	.sky2.star.threshold	0
000_ef_bb_bf.bin	Float	.sky2.star.power	0
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.Ratio	0
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.Color.R	255
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.Color.G	255
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.Color.B	255
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.Color.A	255
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.UpperWidth	0
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.LowerWidth	10
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.Length	0
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.FadeNear	16000
000_ef_bb_bf.bin	Float	.sky2.Weather.LightShaft.FadeFar	24000
000_ef_bb_bf.bin	Float	.sky2.Weather.Rain.Ratio	0
000_ef_bb_bf.bin	Float	.sky2.Weather.Rain.Color.R	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Rain.Color.G	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Rain.Color.B	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Rain.Color.A	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Snow.Ratio	0
000_ef_bb_bf.bin	Float	.sky2.Weather.Snow.Color.R	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Snow.Color.G	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Snow.Color.B	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Snow.Color.A	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Air.Ratio	2
000_ef_bb_bf.bin	Float	.sky2.Weather.Air.Color.R	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Air.Color.G	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Air.Color.B	255
000_ef_bb_bf.bin	Float	.sky2.Weather.Air.Color.A	50
000_ef_bb_bf.bin	Float	.sky2.suneff.flare_col.R	187
000_ef_bb_bf.bin	Float	.sky2.suneff.flare_col.G	187
000_ef_bb_bf.bin	Float	.sky2.suneff.flare_col.B	187
000_ef_bb_bf.bin	Float	.sky2.suneff.cross_col.R	141
000_ef_bb_bf.bin	Float	.sky2.suneff.cross_col.G	169
000_ef_bb_bf.bin	Float	.sky2.suneff.cross_col.B	180
000_ef_bb_bf.bin	Float	.sky2.suneff.glow_col.R	65
000_ef_bb_bf.bin	Float	.sky2.suneff.glow_col.G	72
000_ef_bb_bf.bin	Float	.sky2.suneff.glow_col.B	122
000_ef_bb_bf.bin	Float	.sky2.mapspecular.mesh.power	7
000_ef_bb_bf.bin	Float	.sky2.mapspecular.mesh.scale	0.5
000_ef_bb_bf.bin	Float	.sky2.mapspecular.mesh.contrast	3.5
000_ef_bb_bf.bin	Float	.sky2.mapspecular.mesh.col.R	255
000_ef_bb_bf.bin	Float	.sky2.mapspecular.mesh.col.G	249
000_ef_bb_bf.bin	Float	.sky2.mapspecular.mesh.col.B	119
000_ef_bb_bf.bin	Float	.sky2.mapspecular.mesh.fogPower	2
000_ef_bb_bf.bin	Float	.sky2.mapspecular.parts.power	7
000_ef_bb_bf.bin	Float	.sky2.mapspecular.parts.scale	0.5
000_ef_bb_bf.bin	Float	.sky2.mapspecular.parts.contrast	1.0
000_ef_bb_bf.bin	Float	.sky2.mapspecular.parts.col.R	255
000_ef_bb_bf.bin	Float	.sky2.mapspecular.parts.col.G	249
000_ef_bb_bf.bin	Float	.sky2.mapspecular.parts.col.B	121
000_ef_bb_bf.bin	Float	.sky2.mapspecular.parts.fogPower	2
000_ef_bb_bf.bin	Float	.sky2.ocean.spePow	36.7
000_ef_bb_bf.bin	Float	.sky2.ocean.speFresnel	0.100
000_ef_bb_bf.bin	Float	.sky2.ocean.speMin	0.05
000_ef_bb_bf.bin	Float	.sky2.ocean.speScroll.X	-0.0649
000_ef_bb_bf.bin	Float	.sky2.ocean.speScroll.Z	0.2208
000_ef_bb_bf.bin	Float	.sky2.ocean.speCol.R	15.2
000_ef_bb_bf.bin	Float	.sky2.ocean.speCol.G	14.1
000_ef_bb_bf.bin	Float	.sky2.ocean.speCol.B	10.4
000_ef_bb_bf.bin	Float	.sky2.high.sun.brightness	128
000_ef_bb_bf.bin	Float	.sky2.high.sun.col.R	194
000_ef_bb_bf.bin	Float	.sky2.high.sun.col.G	189
000_ef_bb_bf.bin	Float	.sky2.high.sun.col.B	165
000_ef_bb_bf.bin	Float	.sky2.high.ambient.R	118
000_ef_bb_bf.bin	Float	.sky2.high.ambient.G	139
000_ef_bb_bf.bin	Float	.sky2.high.ambient.B	148
000_ef_bb_bf.bin	Float	.sky2.high.specular.power	0.8
000_ef_bb_bf.bin	Float	.sky2.high.specular.col.R	244
000_ef_bb_bf.bin	Float	.sky2.high.specular.col.G	228
000_ef_bb_bf.bin	Float	.sky2.high.specular.col.B	181
000_ef_bb_bf.bin	Float	.sky2.high.sun.size	10.5
000_ef_bb_bf.bin	Float	.sky2.high.suneff.flare_size	65
000_ef_bb_bf.bin	Float	.sky2.high.suneff.cross_size	42.1
000_ef_bb_bf.bin	Float	.sky2.high.suneff.cross_brightness	1.5
000_ef_bb_bf.bin	Float	.sky2.high.suneff.glow_size	150
000_ef_bb_bf.bin	Float	.sky2.high.player.shadow.col.R	28
000_ef_bb_bf.bin	Float	.sky2.high.player.shadow.col.G	36
000_ef_bb_bf.bin	Float	.sky2.high.player.shadow.col.B	49
000_ef_bb_bf.bin	Float	.sky2.high.player.shadow.brightness	0.3
000_ef_bb_bf.bin	Float	.sky2.high.light2.lrx	90
000_ef_bb_bf.bin	Float	.sky2.high.light2.lry	0
000_ef_bb_bf.bin	Float	.sky2.high.light2.colR	56.0
000_ef_bb_bf.bin	Float	.sky2.high.light2.colG	76
000_ef_bb_bf.bin	Float	.sky2.high.light2.colB	123.0
000_ef_bb_bf.bin	Float	.sky2.high.light3.lrx	-90
000_ef_bb_bf.bin	Float	.sky2.high.light3.lry	0
000_ef_bb_bf.bin	Float	.sky2.high.light3.colR	-30
000_ef_bb_bf.bin	Float	.sky2.high.light3.colG	-30
000_ef_bb_bf.bin	Float	.sky2.high.light3.colB	-30
000_ef_bb_bf.bin	Float	.sky2.low.sun.brightness	128
000_ef_bb_bf.bin	Float	.sky2.low.sun.col.R	194
000_ef_bb_bf.bin	Float	.sky2.low.sun.col.G	189
000_ef_bb_bf.bin	Float	.sky2.low.sun.col.B	165
000_ef_bb_bf.bin	Float	.sky2.low.ambient.R	118
000_ef_bb_bf.bin	Float	.sky2.low.ambient.G	139
000_ef_bb_bf.bin	Float	.sky2.low.ambient.B	148
000_ef_bb_bf.bin	Float	.sky2.low.specular.power	0.8
000_ef_bb_bf.bin	Float	.sky2.low.specular.col.R	245
000_ef_bb_bf.bin	Float	.sky2.low.specular.col.G	231
000_ef_bb_bf.bin	Float	.sky2.low.specular.col.B	186
000_ef_bb_bf.bin	Float	.sky2.low.sun.size	10.5
000_ef_bb_bf.bin	Float	.sky2.low.suneff.flare_size	82.5
000_ef_bb_bf.bin	Float	.sky2.low.suneff.cross_size	29.3
000_ef_bb_bf.bin	Float	.sky2.low.suneff.cross_brightness	0.725
000_ef_bb_bf.bin	Float	.sky2.low.suneff.glow_size	150
000_ef_bb_bf.bin	Float	.sky2.low.player.shadow.col.R	28
000_ef_bb_bf.bin	Float	.sky2.low.player.shadow.col.G	36
000_ef_bb_bf.bin	Float	.sky2.low.player.shadow.col.B	49
000_ef_bb_bf.bin	Float	.sky2.low.player.shadow.brightness	0.3
000_ef_bb_bf.bin	Float	.sky2.low.light2.lrx	90
000_ef_bb_bf.bin	Float	.sky2.low.light2.lry	0
000_ef_bb_bf.bin	Float	.sky2.low.light2.colR	63
000_ef_bb_bf.bin	Float	.sky2.low.light2.colG	76
000_ef_bb_bf.bin	Float	.sky2.low.light2.colB	85
000_ef_bb_bf.bin	Float	.sky2.low.light3.lrx	-90
000_ef_bb_bf.bin	Float	.sky2.low.light3.lry	0
000_ef_bb_bf.bin	Float	.sky2.low.light3.colR	-30
000_ef_bb_bf.bin	Float	.sky2.low.light3.colG	-30
000_ef_bb_bf.bin	Float	.sky2.low.light3.colB	-30
000_ef_bb_bf.bin	S16	.player.night_mode	0
000_ef_bb_bf.bin	S16	.player.sonic_barrier	0
000_ef_bb_bf.bin	Float	.mapparts.distanceL	16000
000_ef_bb_bf.bin	Float	.mapparts.distanceM	12000
000_ef_bb_bf.bin	Float	.mapparts.distanceS	10000
000_ef_bb_bf.bin	Float	.mapparts.mipBias	-0.2
000_ef_bb_bf.bin	Float	.mapparts.meshMipBias	0
000_ef_bb_bf.bin	Float	.tree.FadeDistance	8192
000_ef_bb_bf.bin	Float	.tree.FadeRange	512
000_ef_bb_bf.bin	Float	.tree.ScaleRange	1.1
000_ef_bb_bf.bin	Float	.tree.group1.preset1.Kind	1
000_ef_bb_bf.bin	Float	.tree.group1.preset1.SetNo	2
000_ef_bb_bf.bin	Float	.tree.group1.preset2.Kind	3
000_ef_bb_bf.bin	Float	.tree.group1.preset2.SetNo	1
000_ef_bb_bf.bin	Float	.tree.group1.preset3.Kind	0
000_ef_bb_bf.bin	Float	.tree.group1.preset3.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group2.preset1.Kind	2
000_ef_bb_bf.bin	Float	.tree.group2.preset1.SetNo	2
000_ef_bb_bf.bin	Float	.tree.group2.preset2.Kind	0
000_ef_bb_bf.bin	Float	.tree.group2.preset2.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group2.preset3.Kind	0
000_ef_bb_bf.bin	Float	.tree.group2.preset3.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group3.preset1.Kind	3
000_ef_bb_bf.bin	Float	.tree.group3.preset1.SetNo	3
000_ef_bb_bf.bin	Float	.tree.group3.preset2.Kind	0
000_ef_bb_bf.bin	Float	.tree.group3.preset2.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group3.preset3.Kind	0
000_ef_bb_bf.bin	Float	.tree.group3.preset3.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group4.preset1.Kind	0
000_ef_bb_bf.bin	Float	.tree.group4.preset1.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group4.preset2.Kind	0
000_ef_bb_bf.bin	Float	.tree.group4.preset2.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group4.preset3.Kind	0
000_ef_bb_bf.bin	Float	.tree.group4.preset3.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group5.preset1.Kind	5
000_ef_bb_bf.bin	Float	.tree.group5.preset1.SetNo	2
000_ef_bb_bf.bin	Float	.tree.group5.preset2.Kind	7
000_ef_bb_bf.bin	Float	.tree.group5.preset2.SetNo	1
000_ef_bb_bf.bin	Float	.tree.group5.preset3.Kind	0
000_ef_bb_bf.bin	Float	.tree.group5.preset3.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group6.preset1.Kind	0
000_ef_bb_bf.bin	Float	.tree.group6.preset1.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group6.preset2.Kind	0
000_ef_bb_bf.bin	Float	.tree.group6.preset2.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group6.preset3.Kind	0
000_ef_bb_bf.bin	Float	.tree.group6.preset3.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group7.preset1.Kind	0
000_ef_bb_bf.bin	Float	.tree.group7.preset1.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group7.preset2.Kind	0
000_ef_bb_bf.bin	Float	.tree.group7.preset2.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group7.preset3.Kind	0
000_ef_bb_bf.bin	Float	.tree.group7.preset3.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group8.preset1.Kind	0
000_ef_bb_bf.bin	Float	.tree.group8.preset1.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group8.preset2.Kind	0
000_ef_bb_bf.bin	Float	.tree.group8.preset2.SetNo	0
000_ef_bb_bf.bin	Float	.tree.group8.preset3.Kind	0
000_ef_bb_bf.bin	Float	.tree.group8.preset3.SetNo	0
000_ef_bb_bf.bin	Float	.tree.scale1	25
000_ef_bb_bf.bin	Float	.tree.scale2	15
000_ef_bb_bf.bin	Float	.tree.scale3	15
000_ef_bb_bf.bin	Float	.tree.scale4	25
000_ef_bb_bf.bin	Float	.tree.scale5	20
000_ef_bb_bf.bin	Float	.tree.scale6	20
000_ef_bb_bf.bin	Float	.tree.scale7	15
000_ef_bb_bf.bin	Float	.tree.scale8	20
000_ef_bb_bf.bin	S16	.Vignetting.bEnable	1
000_ef_bb_bf.bin	Float	.Vignetting.fRadiusRatio	0.610
000_ef_bb_bf.bin	Float	.Vignetting.fFovRatio	1.5
000_ef_bb_bf.bin	S16	.HDR.bEnable	1
000_ef_bb_bf.bin	Float	.HDR.fMinLuminance	25
000_ef_bb_bf.bin	Float	.HDR.fMaxLuminance	50
000_ef_bb_bf.bin	Float	.HDR.fAdaptationSpeed	1
000_ef_bb_bf.bin	Float	.HDR.fBrightPassThreshold	0.4
000_ef_bb_bf.bin	Float	.HDR.fBrightPassOffset	8
000_ef_bb_bf.bin	Float	.HDR.fBloomBrightness	1
000_ef_bb_bf.bin	Float	.HDR.fBloomSigma	2.0
000_ef_bb_bf.bin	Float	.HDR.fBloomScale	1
000_ef_bb_bf.bin	Float	.HDR.fStarScale	1.0
000_ef_bb_bf.bin	Float	.LensFlare.Lens01.fPosition	0.922
000_ef_bb_bf.bin	Float	.LensFlare.Lens01.fRadius	78
000_ef_bb_bf.bin	Float	.LensFlare.Lens01.vColor.R	41
000_ef_bb_bf.bin	Float	.LensFlare.Lens01.vColor.G	44
000_ef_bb_bf.bin	Float	.LensFlare.Lens01.vColor.B	129
000_ef_bb_bf.bin	Float	.LensFlare.Lens02.fPosition	-0.579
000_ef_bb_bf.bin	Float	.LensFlare.Lens02.fRadius	32
000_ef_bb_bf.bin	Float	.LensFlare.Lens02.vColor.R	44
000_ef_bb_bf.bin	Float	.LensFlare.Lens02.vColor.G	50
000_ef_bb_bf.bin	Float	.LensFlare.Lens02.vColor.B	50
000_ef_bb_bf.bin	Float	.LensFlare.Lens03.fPosition	-0.481
000_ef_bb_bf.bin	Float	.LensFlare.Lens03.fRadius	22
000_ef_bb_bf.bin	Float	.LensFlare.Lens03.vColor.R	27
000_ef_bb_bf.bin	Float	.LensFlare.Lens03.vColor.G	27
000_ef_bb_bf.bin	Float	.LensFlare.Lens03.vColor.B	27
000_ef_bb_bf.bin	Float	.LensFlare.Lens04.fPosition	0.2
000_ef_bb_bf.bin	Float	.LensFlare.Lens04.fRadius	23
000_ef_bb_bf.bin	Float	.LensFlare.Lens04.vColor.R	68
000_ef_bb_bf.bin	Float	.LensFlare.Lens04.vColor.G	60
000_ef_bb_bf.bin	Float	.LensFlare.Lens04.vColor.B	64
000_ef_bb_bf.bin	Float	.LensFlare.Lens05.fPosition	0.4
000_ef_bb_bf.bin	Float	.LensFlare.Lens05.fRadius	42
000_ef_bb_bf.bin	Float	.LensFlare.Lens05.vColor.R	75
000_ef_bb_bf.bin	Float	.LensFlare.Lens05.vColor.G	56
000_ef_bb_bf.bin	Float	.LensFlare.Lens05.vColor.B	52
000_ef_bb_bf.bin	Float	.LensFlare.Lens06.fPosition	0.5
000_ef_bb_bf.bin	Float	.LensFlare.Lens06.fRadius	55
000_ef_bb_bf.bin	Float	.LensFlare.Lens06.vColor.R	55
000_ef_bb_bf.bin	Float	.LensFlare.Lens06.vColor.G	36
000_ef_bb_bf.bin	Float	.LensFlare.Lens06.vColor.B	91
000_ef_bb_bf.bin	Float	.LensFlare.Lens07.fPosition	0.6
000_ef_bb_bf.bin	Float	.LensFlare.Lens07.fRadius	30
000_ef_bb_bf.bin	Float	.LensFlare.Lens07.vColor.R	32
000_ef_bb_bf.bin	Float	.LensFlare.Lens07.vColor.G	32
000_ef_bb_bf.bin	Float	.LensFlare.Lens07.vColor.B	119
000_ef_bb_bf.bin	Float	.LensFlare.Lens08.fPosition	0.835
000_ef_bb_bf.bin	Float	.LensFlare.Lens08.fRadius	25
000_ef_bb_bf.bin	Float	.LensFlare.Lens08.vColor.R	24
000_ef_bb_bf.bin	Float	.LensFlare.Lens08.vColor.G	86
000_ef_bb_bf.bin	Float	.LensFlare.Lens08.vColor.B	28
000_ef_bb_bf.bin	Float	.A.ObjCut.Upper	1500
000_ef_bb_bf.bin	Float	.A.ObjCut.Lower	1300.000
000_ef_bb_bf.bin	Float	.A.Ambient.BG_Upper	1600.000
000_ef_bb_bf.bin	Float	.A.Ambient.BG_Lower	1500
000_ef_bb_bf.bin	Float	.A.Ambient.OBJ_Upper	1600.000
000_ef_bb_bf.bin	Float	.A.Ambient.OBJ_Lower	1500
000_ef_bb_bf.bin	Float	.A.Outline.BG_Upper	1800.000
000_ef_bb_bf.bin	Float	.A.Outline.BG_Lower	1600.000
000_ef_bb_bf.bin	Float	.A.Outline.OBJ_Upper	1800.000
000_ef_bb_bf.bin	Float	.A.Outline.OBJ_Lower	1600.000
000_ef_bb_bf.bin	Float	.A.BG_Disappear_Start	3000
000_ef_bb_bf.bin	Float	.A.BG_Disappear_End	7000
000_ef_bb_bf.bin	Float	.A.BGFlat_Appear_Start	5000.000
000_ef_bb_bf.bin	Float	.A.BGFlat_Appear_End	6000.000
000_ef_bb_bf.bin	Float	.B.OutLineRatio	1.0
000_ef_bb_bf.bin	Float	.B.FogDensity	-0.025
000_ef_bb_bf.bin	Float	.B.FlatCloudAlpha	300
000_ef_bb_bf.bin	Float	.B.Altitude.HiFlat	17000
000_ef_bb_bf.bin	Float	.B.Altitude.OBJ	1500.000
000_ef_bb_bf.bin	Float	.B.Altitude.BG	1500.000
000_ef_bb_bf.bin	Float	.B.Altitude.Flat	1300.000
000_ef_bb_bf.bin	Float	.B.Altitude.BGFlat	1500
000_ef_bb_bf.bin	Float	.B.DiffuseMin	0.35
000_ef_bb_bf.bin	Float	.B.UpperFlatDiffuse	0.6
000_ef_bb_bf.bin	Float	.B.ColorDownRatio	0.875
000_ef_bb_bf.bin	Float	.B.ColorDownThreshold	0.8
000_ef_bb_bf.bin	Float	.B.ShadowPower	1.0
000_ef_bb_bf.bin	Float	.B.Contrail_Upper	9000
000_ef_bb_bf.bin	Float	.B.Contrail_Lower	8000
