index,relative_offset,size,root_kind,rows,fhm,ntxr,ndxr,scene,mate,nfic,nfh,nsxr,binary,empty
32,15900672,139264,fhm,39,1,1,9,0,9,0,0,0,19,0
33,16039936,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
34,16146432,139264,fhm,39,1,1,9,0,9,0,0,0,19,0
35,16285696,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
36,16392192,143360,fhm,39,1,1,9,0,9,0,0,0,19,0
37,16535552,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
38,16642048,139264,fhm,40,1,1,9,0,9,0,0,0,20,0
39,16781312,106496,fhm,6,0,1,0,0,4,0,0,0,1,0
40,16887808,151552,fhm,40,1,1,9,0,9,0,0,0,20,0
41,17039360,106496,fhm,6,0,1,0,0,4,0,0,0,1,0
42,17145856,520192,fhm,6,0,1,0,0,4,0,0,0,1,0
43,17666048,184320,fhm,19,1,1,4,0,4,0,0,0,9,0
44,17850368,516096,fhm,2,0,1,0,0,0,0,0,0,1,0
45,18366464,81920,fhm,21,1,1,4,0,4,0,0,0,11,0
46,18448384,49152,fhm,6,0,1,0,0,4,0,0,0,1,0
47,18497536,520192,fhm,6,0,1,0,0,4,0,0,0,1,0
48,19017728,598016,fhm,36,1,1,8,0,8,0,0,0,18,0
49,19615744,548864,fhm,2,0,1,0,0,0,0,0,0,1,0
50,20164608,98304,fhm,35,1,1,8,0,8,0,0,0,17,0
51,20262912,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
52,20369408,90112,fhm,35,1,1,8,0,8,0,0,0,17,0
53,20459520,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
54,20566016,90112,fhm,35,1,1,8,0,8,0,0,0,17,0
55,20656128,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
56,20762624,598016,fhm,36,1,1,8,0,8,0,0,0,18,0
57,21360640,548864,fhm,2,0,1,0,0,0,0,0,0,1,0
58,21909504,98304,fhm,35,1,1,8,0,8,0,0,0,17,0
59,22007808,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
60,22114304,98304,fhm,36,1,1,8,0,8,0,0,0,18,0
61,22212608,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
62,22319104,90112,fhm,35,1,1,8,0,8,0,0,0,17,0
63,22409216,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
64,22515712,581632,fhm,36,1,1,8,0,8,0,0,0,18,0
65,23097344,548864,fhm,2,0,1,0,0,0,0,0,0,1,0
66,23646208,102400,fhm,35,1,1,8,0,8,0,0,0,17,0
67,23748608,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
68,23855104,110592,fhm,35,1,1,8,0,8,0,0,0,17,0
69,23965696,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
70,24072192,122880,fhm,36,1,1,8,0,8,0,0,0,18,0
71,24195072,106496,fhm,2,0,1,0,0,0,0,0,0,1,0
72,24301568,466944,fhm,19,1,1,4,0,4,0,0,0,9,0
73,24768512,520192,fhm,6,0,1,0,0,4,0,0,0,1,0
74,25288704,28672,fhm,19,1,0,4,0,4,0,0,0,10,0
75,25317376,49152,fhm,2,0,1,0,0,0,0,0,0,1,0
76,25366528,331776,fhm,54,1,1,2,0,2,0,0,0,48,0
77,25698304,516096,fhm,2,0,1,0,0,0,0,0,0,1,0
78,26214400,446464,fhm,63,1,1,2,0,2,0,0,0,57,0
79,26660864,516096,fhm,2,0,1,0,0,0,0,0,0,1,0
80,27176960,155648,fhm,39,1,1,9,0,9,0,0,0,19,0
81,27332608,106496,fhm,6,0,1,0,0,4,0,0,0,1,0
82,27439104,147456,fhm,39,1,1,9,0,9,0,0,0,19,0
83,27586560,106496,fhm,6,0,1,0,0,4,0,0,0,1,0
84,27693056,151552,fhm,40,1,1,9,0,9,0,0,0,20,0
85,27844608,106496,fhm,6,0,1,0,0,4,0,0,0,1,0
86,27951104,16384,fhm,22,1,0,5,0,5,0,0,0,11,0
87,27967488,4096,fhm,2,0,0,0,0,1,0,0,0,1,0
88,27971584,24576,fhm,30,1,0,9,0,5,0,0,0,15,0
89,27996160,4096,fhm,2,0,0,0,0,1,0,0,0,1,0
90,28000256,462848,fhm,62,1,1,2,0,2,0,0,0,56,0
91,28463104,520192,fhm,3,0,1,0,0,1,0,0,0,1,0
92,28983296,57344,fhm,26,1,0,5,0,5,0,0,0,15,0
93,29040640,49152,fhm,3,0,1,0,0,1,0,0,0,1,0
