service_id,minimal_semantics,grade,automatic_producers,order_producers,act_consumers,radio_consumers
251,paired gate for groups 199 and Nimbus 208,A-,if service 293 cmp0 1 -> action0 mode0 value0 | if service 294 cmp0 1 -> action0 mode0 value0,OrderFlag g190 a0 o3 set 1 | OrderFlag g190 a0 o5 set 0 | OrderFlag g190 a0 o7 set 1 | OrderFlag g190 a1 o1 set 0 | OrderFlag g208 a0 o3 set 0,ActStart g199 a1 == 0 | ActStart g208 a1 == 0,
258,service role open,C,if time 0s ref=65535 timeline=2 -> action0 mode0 value1,,,
259,service role open,C,if spatial g=0 o=0 mode=0 -> action0 mode0 value1 | if spatial g=0 o=0 mode=0 -> action0 mode0 value0,,,
279,Rafale/timed branch with distinct radio states 1 and 2,A-,if time 120s ref=65535 timeline=0 AND service 279 cmp0 0 -> action0 mode0 value1 | if service 162 cmp0 2 -> action0 mode0 value2,OrderFlag g119 a1 o1 set 2,,radio row 12 event 575 primary==1 | radio row 12 event 575 secondary==2
282,service role open,C,if stat record=0 field=1 cmp2 expected=20 AND service 279 cmp0 2 AND service 162 cmp0 0 -> action0 mode0 value1 | if stat record=0 field=1 cmp2 expected=24 AND service 279 cmp0 2 AND service 162 cmp0 1 AND service 163 cmp0 0 -> action0 mode0 value1 | if stat record=0 field=1 cmp0 expected=28 AND service 279 cmp0 2 AND service 163 cmp0 1 -> action0 mode0 value1,,,radio row 15 event 243 primary==1
283,service role open,C,if time 0.1s ref=65535 timeline=1 -> action0 mode0 value1,,,radio row 16 event 251 primary==1
286,service role open,C,if service 231 cmp0 1 -> action0 mode0 value1,,,radio row 18 event 252 primary==1 | radio row 18 event 252 secondary==2
287,service role open,C,if time 90s ref=65535 timeline=1 -> action0 mode0 value1,,,radio row 19 event 259 primary==1 | radio row 19 event 259 secondary==2 | radio row 20 event 260 primary==2
291,service role open,C,if service 205 cmp2 3 -> action0 mode0 value1 | if time 140s ref=65535 timeline=2 -> action0 mode0 value1,,,radio row 23 event 229 primary==1 | radio row 23 event 229 secondary==2
293,mission-update gate derived from services 258 and 259,A-,if service 258 cmp0 1 AND service 259 cmp0 1 -> action0 mode0 value1,,ActStart g182 a2 == 1 | ActStart g183 a2 == 1 | ActStart g184 a1 == 1 | ActStart g185 a2 == 1 | ActStart g186 a2 == 1 | ActStart g187 a2 == 1 | ActStart g188 a2 == 1 | ActStart g189 a2 == 1 | ActStart g190 a2 == 1 | ActStart g191 a2 == 1 | ActStart g192 a2 == 1 | ActStart g193 a2 == 1 | ActStart g194 a2 == 1 | ActStart g195 a2 == 1 | ActStart g196 a2 == 1 | ActStart g197 a2 == 1 | ActStart g198 a2 == 1 | ActStart g199 a2 == 1 | ActStart g209 a1 == 1,radio row 25 event 265 primary==1
294,second-stage external mission gate,B,,,ActStart g182 a3 == 1 | ActStart g183 a3 == 1 | ActStart g184 a2 == 1 | ActStart g185 a3 == 1 | ActStart g186 a3 == 1 | ActStart g187 a3 == 1 | ActStart g188 a3 == 1 | ActStart g189 a3 == 1 | ActStart g190 a3 == 1 | ActStart g191 a3 == 1 | ActStart g192 a3 == 1 | ActStart g193 a3 == 1 | ActStart g194 a3 == 1 | ActStart g195 a3 == 1 | ActStart g196 a3 == 1 | ActStart g197 a3 == 1 | ActStart g198 a3 == 1 | ActStart g199 a3 == 1 | ActStart g209 a2 == 1,
301,service role open,C,if time 25s ref=65535 timeline=1 -> action0 mode0 value2,,,radio row 30 event 258 primary==2 | radio row 30 event 258 secondary==1
315,radio narrative/stat threshold gate,B,if stat record=0 field=1 cmp2 expected=0 -> action0 mode0 value1 | if stat record=0 field=1 cmp2 expected=11 -> action0 mode0 value2,,,radio row 42 event 199 primary==1 | radio row 42 event 199 third==2
316,radio narrative/stat threshold gate,B,if stat record=0 field=1 cmp2 expected=6 -> action0 mode0 value1 | if stat record=0 field=1 cmp2 expected=13 -> action0 mode0 value2,,,radio row 43 event 200 primary==1 | radio row 43 event 200 third==2
317,radio narrative/stat threshold gate,B,if stat record=0 field=1 cmp2 expected=11 -> action0 mode0 value1 | if service 282 cmp0 1 -> action0 mode0 value2,,,radio row 44 event 201 primary==1 | radio row 44 event 201 third==2
318,radio narrative gate from service 8,B,if service 8 cmp0 1 -> action0 mode0 value1 | if service 0 cmp0 1 -> action0 mode0 value2,,,radio row 45 event 202 primary==1 | radio row 45 event 202 third==2
319,"radio row service, producer open",C+,,,,
320,timed radio narrative gate,B,if time 40s ref=65535 timeline=1 -> action0 mode0 value1 | if service 1 cmp0 1 -> action0 mode0 value2,,,radio row 46 event 203 primary==1 | radio row 46 event 203 third==2
321,phase-timeline radio gate,B,if time 0s ref=65535 timeline=2 -> action0 mode0 value1 | if service 294 cmp0 1 -> action0 mode0 value2,,,radio row 47 event 204 primary==1 | radio row 47 event 204 third==2
322,radio narrative gate from service 205,B,if service 205 cmp2 1 -> action0 mode0 value1 | if service 216 cmp0 1 -> action0 mode0 value2,,,radio row 48 event 205 primary==1 | radio row 48 event 205 third==2
324,random selector 1..3,A-,if time 0s ref=65535 timeline=0 -> action0 mode2 value3,,,
325,"radio variant selector, values 1..4 consumed",B+,if time 0s ref=65535 timeline=0 -> action0 mode0 value1 | if time 23s ref=65535 timeline=0 AND service 324 cmp0 1 -> action0 mode0 value2 | if time 29s ref=65535 timeline=0 AND service 324 cmp0 2 -> action0 mode0 value2 | if time 36s ref=65535 timeline=0 AND service 324 cmp0 3 -> action0 mode0 value2 | if time 0s ref=65535 timeline=1 -> action0 mode0 value3 | if service 286 cmp0 2 -> action0 mode0 value4,,,radio row 49 event 65535 primary==1 | radio row 50 event 65535 primary==2 | radio row 51 event 65535 primary==3 | radio row 52 event 65535 primary==4
326,four-way mission/status result selector,B+,if service 0 cmp0 0 -> action0 mode0 value1 | if service 282 cmp0 1 -> action0 mode0 value-1 | if service 283 cmp0 1 -> action0 mode0 value2 | if service 2 cmp0 1 -> action0 mode0 value-2,,,
