# MSVC vtables of default.xex, named from their RTTI locator.
# Produced by scripts/SweepMsvcRtti.java, read-only, no oracle.
# An entry appears only when the whole chain resolves - locator, type
# descriptor, a name beginning '.?A', and a first slot pointing into an
# executable block. 1619 locator-like words failed a step; they are counted in
# the sweep summary and deliberately not named here.
# class is a best-effort undecoration and is EMPTY for templates: the mangled
# column is the authoritative name. bases are 'mangled@mdisp' in decimal.
# columns: vtable class bases mangled
0x82010b78	NU::Draw::DrawOrderBase	.?AVDrawOrderBase@Draw@NU@@@0	.?AVDrawOrderBase@Draw@NU@@
0x82010d10	NU::Texture::TextureContextConcrete	.?AVTextureContextConcrete@Texture@NU@@@0;.?AVTextureContext@Texture@NU@@@0;.?AUITextureContext@Texture@NU@@@0;.?AUnuIUnknown@@@0	.?AVTextureContextConcrete@Texture@NU@@
0x82010d4c	NU::Shader::ShaderContext	.?AVShaderContext@Shader@NU@@@0;.?AUIShaderContext@Shader@NU@@@0;.?AUnuIUnknown@@@0	.?AVShaderContext@Shader@NU@@
0x82010d9c	NU::Shader::ShaderContextConcrete	.?AVShaderContextConcrete@Shader@NU@@@0;.?AVShaderContext@Shader@NU@@@0;.?AUIShaderContext@Shader@NU@@@0;.?AUnuIUnknown@@@0	.?AVShaderContextConcrete@Shader@NU@@
0x820110c0	NU::Model::ModelInfoManager::CUnlinkData	.?AVCUnlinkData@ModelInfoManager@Model@NU@@@0;.?AVCList@ModelInfoManager@Model@NU@@@0	.?AVCUnlinkData@ModelInfoManager@Model@NU@@
0x820110c8	NU::Input::DriverContext	.?AVDriverContext@Input@NU@@@0	.?AVDriverContext@Input@NU@@
0x82011464	NU::File::RequestContext	.?AVRequestContext@File@NU@@@0	.?AVRequestContext@File@NU@@
0x82011470	NU::File::RequestMount	.?AVRequestMount@File@NU@@@0;.?AVRequestContext@File@NU@@@0	.?AVRequestMount@File@NU@@
0x8201147c	NU::File::RequestOpen	.?AVRequestOpen@File@NU@@@0;.?AVRequestContext@File@NU@@@0	.?AVRequestOpen@File@NU@@
0x82011488	NU::File::RequestClose	.?AVRequestClose@File@NU@@@0;.?AVRequestContext@File@NU@@@0	.?AVRequestClose@File@NU@@
0x82011494	NU::File::RequestRead	.?AVRequestRead@File@NU@@@0;.?AVRequestContext@File@NU@@@0	.?AVRequestRead@File@NU@@
0x820114a0	NU::File::RequestSeek	.?AVRequestSeek@File@NU@@@0;.?AVRequestContext@File@NU@@@0	.?AVRequestSeek@File@NU@@
0x820114ac	NU::File::RequestGetSize	.?AVRequestGetSize@File@NU@@@0;.?AVRequestContext@File@NU@@@0	.?AVRequestGetSize@File@NU@@
0x820114bc	NU::Draw::DrawOrderBase::RequestOrderDraw	.?AVRequestOrderDraw@DrawOrderBase@Draw@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestOrderDraw@DrawOrderBase@Draw@NU@@
0x820114dc	NU::Draw::DrawOrderSort::RequestOrderDraw	.?AVRequestOrderDraw@DrawOrderSort@Draw@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestOrderDraw@DrawOrderSort@Draw@NU@@
0x820114fc	NU::Draw::Geometry::RequestContext	.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVRequestContext@Geometry@Draw@NU@@
0x82011508	NU::Draw::Geometry::RequestUpdate	.?AVRequestUpdate@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVRequestUpdate@Geometry@Draw@NU@@
0x82011588	NU::Draw::RequestViewport	.?AVRequestViewport@Draw@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestViewport@Draw@NU@@
0x820115a8	NU::Draw::RequestInitialState	.?AVRequestInitialState@Draw@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestInitialState@Draw@NU@@
0x82011fb4	NU::Motion::Decoder	.?AVDecoder@Motion@NU@@@0	.?AVDecoder@Motion@NU@@
0x82011fcc	NU::Motion::DecoderGyb	.?AVDecoderGyb@Motion@NU@@@0;.?AVDecoder@Motion@NU@@@0	.?AVDecoderGyb@Motion@NU@@
0x82011fe4	NU::Draw::RequestClear	.?AVRequestClear@Draw@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestClear@Draw@NU@@
0x82012070	std::length_error	.?AVlength_error@std@@@0;.?AVlogic_error@std@@@0;.?AVexception@std@@@0	.?AVlength_error@std@@
0x82012080	NU::System::RenderContext	.?AVRenderContext@System@NU@@@0;.?AUIRenderContext@System@NU@@@0;.?AUnuIUnknown@@@0	.?AVRenderContext@System@NU@@
0x820120a0	NU::System::RenderContextDefault	.?AVRenderContextDefault@System@NU@@@0;.?AVRenderContext@System@NU@@@0;.?AUIRenderContext@System@NU@@@0;.?AUnuIUnknown@@@0	.?AVRenderContextDefault@System@NU@@
0x820120c0	NU::RenderTexture::RequestBegin	.?AVRequestBegin@RenderTexture@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestBegin@RenderTexture@NU@@
0x820120e0	NU::RenderTexture::RequestBeginEx	.?AVRequestBeginEx@RenderTexture@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestBeginEx@RenderTexture@NU@@
0x82012100	NU::RenderTexture::RequestBegin4	.?AVRequestBegin4@RenderTexture@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestBegin4@RenderTexture@NU@@
0x82012120	NU::RenderTexture::RequestBegin4Ex	.?AVRequestBegin4Ex@RenderTexture@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestBegin4Ex@RenderTexture@NU@@
0x82012140	NU::RenderTexture::RequestEnd	.?AVRequestEnd@RenderTexture@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestEnd@RenderTexture@NU@@
0x82012160	NU::RenderTexture::RequestEndEx	.?AVRequestEndEx@RenderTexture@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestEndEx@RenderTexture@NU@@
0x8201218c	NU::Texture::TextureImplement	.?AVTextureImplement@Texture@NU@@@0;.?AVTextureImplementCommon@Texture@NU@@@0	.?AVTextureImplement@Texture@NU@@
0x820121a0	NU::Sprite::RequestSprite3d	.?AVRequestSprite3d@Sprite@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestSprite3d@Sprite@NU@@
0x820124e0	NU::Input::Driver	.?AVDriver@Input@NU@@@0	.?AVDriver@Input@NU@@
0x820124f8	NU::Input::DriverController	.?AVDriverController@Input@NU@@@0;.?AVDriver@Input@NU@@@0	.?AVDriverController@Input@NU@@
0x82012544	NU::Input::DriverKeyboard	.?AVDriverKeyboard@Input@NU@@@0;.?AVDriver@Input@NU@@@0	.?AVDriverKeyboard@Input@NU@@
0x82012578	NU::Draw::RequestNop	.?AVRequestNop@Draw@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestNop@Draw@NU@@
0x82012598	NU::Draw::Geometry::RequestWaitGeometryRequest	.?AVRequestWaitGeometryRequest@Geometry@Draw@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestWaitGeometryRequest@Geometry@Draw@NU@@
0x820125b8	NU::Texture::TextureContextXenon	.?AVTextureContextXenon@Texture@NU@@@0;.?AVTextureContext@Texture@NU@@@0;.?AUITextureContext@Texture@NU@@@0;.?AUnuIUnknown@@@0	.?AVTextureContextXenon@Texture@NU@@
0x820125f4	NU::Texture::TextureContextCubeMapXenon	.?AVTextureContextCubeMapXenon@Texture@NU@@@0;.?AVTextureContext@Texture@NU@@@0;.?AUITextureContext@Texture@NU@@@0;.?AUnuIUnknown@@@0	.?AVTextureContextCubeMapXenon@Texture@NU@@
0x82012690	NU::Texture::TextureContextMipMapXenon	.?AVTextureContextMipMapXenon@Texture@NU@@@0;.?AVTextureContext@Texture@NU@@@0;.?AUITextureContext@Texture@NU@@@0;.?AUnuIUnknown@@@0	.?AVTextureContextMipMapXenon@Texture@NU@@
0x820126cc	NU::Shader::ShaderContextXenon	.?AVShaderContextXenon@Shader@NU@@@0;.?AVShaderContext@Shader@NU@@@0;.?AUIShaderContext@Shader@NU@@@0;.?AUnuIUnknown@@@0	.?AVShaderContextXenon@Shader@NU@@
0x8201273c	NU::Model::ModelInfo	.?AVModelInfo@Model@NU@@@0;.?AUIModelInfo@Model@NU@@@0;.?AUnuIUnknown@@@0	.?AVModelInfo@Model@NU@@
0x820127b4	NU::Model::ModelInfo10	.?AVModelInfo10@Model@NU@@@0;.?AVModelInfo@Model@NU@@@0;.?AUIModelInfo@Model@NU@@@0;.?AUnuIUnknown@@@0	.?AVModelInfo10@Model@NU@@
0x8201283c	NU::Model::ModelInfo20Copy	.?AVModelInfo20Copy@Model@NU@@@0;.?AVModelInfo20@Model@NU@@@0;.?AVModelInfo@Model@NU@@@0;.?AUIModelInfo@Model@NU@@@0;.?AUnuIUnknown@@@0	.?AVModelInfo20Copy@Model@NU@@
0x820128b4	NU::Model::ModelInfo20NoCopy	.?AVModelInfo20NoCopy@Model@NU@@@0;.?AVModelInfo20@Model@NU@@@0;.?AVModelInfo@Model@NU@@@0;.?AUIModelInfo@Model@NU@@@0;.?AUnuIUnknown@@@0	.?AVModelInfo20NoCopy@Model@NU@@
0x8201292c	NU::File::Driver	.?AVDriver@File@NU@@@0	.?AVDriver@File@NU@@
0x82012984	NU::File::DescriptorBase	.?AVDescriptorBase@File@NU@@@0	.?AVDescriptorBase@File@NU@@
0x82012990	NU::File::FindDescriptorBase	.?AVFindDescriptorBase@File@NU@@@0	.?AVFindDescriptorBase@File@NU@@
0x82012998	NU::File::Descriptor	.?AVDescriptor@File@NU@@@0;.?AVDescriptorBase@File@NU@@@0	.?AVDescriptor@File@NU@@
0x820129a4	NU::File::FindDescriptor	.?AVFindDescriptor@File@NU@@@0;.?AVFindDescriptorBase@File@NU@@@0	.?AVFindDescriptor@File@NU@@
0x820129ac	NU::File::DriverXenon	.?AVDriverXenon@File@NU@@@0;.?AVDriver@File@NU@@@0	.?AVDriverXenon@File@NU@@
0x82012a10	NU::Shader::ShaderParameter	.?AVShaderParameter@Shader@NU@@@0;.?AUIShaderParameter@Shader@NU@@@0	.?AVShaderParameter@Shader@NU@@
0x82012a2c	NU::Shader::ParameterLocalProjection	.?AVParameterLocalProjection@Shader@NU@@@0;.?AVShaderParameter@Shader@NU@@@0;.?AUIShaderParameter@Shader@NU@@@0	.?AVParameterLocalProjection@Shader@NU@@
0x82012a48	NU::Shader::ParameterCustomSampler	.?AVParameterCustomSampler@Shader@NU@@@0;.?AVShaderParameter@Shader@NU@@@0;.?AUIShaderParameter@Shader@NU@@@0	.?AVParameterCustomSampler@Shader@NU@@
0x82012a64	NU::Shader::ParameterVertexCustomVector4	.?AVParameterVertexCustomVector4@Shader@NU@@@0;.?AVParameterCustomVector4@Shader@NU@@@0;.?AVShaderParameter@Shader@NU@@@0;.?AUIShaderParameter@Shader@NU@@@0	.?AVParameterVertexCustomVector4@Shader@NU@@
0x82012a80	NU::Shader::ParameterVertexCustomMatrix	.?AVParameterVertexCustomMatrix@Shader@NU@@@0;.?AVParameterCustomMatrix@Shader@NU@@@0;.?AVShaderParameter@Shader@NU@@@0;.?AUIShaderParameter@Shader@NU@@@0	.?AVParameterVertexCustomMatrix@Shader@NU@@
0x82012a9c	NU::Shader::ParameterPixelCustomVector4	.?AVParameterPixelCustomVector4@Shader@NU@@@0;.?AVParameterCustomVector4@Shader@NU@@@0;.?AVShaderParameter@Shader@NU@@@0;.?AUIShaderParameter@Shader@NU@@@0	.?AVParameterPixelCustomVector4@Shader@NU@@
0x82012ab8	NU::Shader::ParameterPixelCustomMatrix	.?AVParameterPixelCustomMatrix@Shader@NU@@@0;.?AVParameterCustomMatrix@Shader@NU@@@0;.?AVShaderParameter@Shader@NU@@@0;.?AUIShaderParameter@Shader@NU@@@0	.?AVParameterPixelCustomMatrix@Shader@NU@@
0x82015328	NU::Draw::Geometry::Skinning_V_W4	.?AVSkinning_V_W4@Geometry@Draw@NU@@@0;.?AVSkinningContext@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVSkinning_V_W4@Geometry@Draw@NU@@
0x82015334	NU::Draw::Geometry::Skinning_VN_W4	.?AVSkinning_VN_W4@Geometry@Draw@NU@@@0;.?AVSkinningContext@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVSkinning_VN_W4@Geometry@Draw@NU@@
0x82015340	NU::Draw::Geometry::Skinning_VNB_W4	.?AVSkinning_VNB_W4@Geometry@Draw@NU@@@0;.?AVSkinningContext@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVSkinning_VNB_W4@Geometry@Draw@NU@@
0x8201534c	NU::Draw::Geometry::Skinning_VNBT_W4	.?AVSkinning_VNBT_W4@Geometry@Draw@NU@@@0;.?AVSkinningContext@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVSkinning_VNBT_W4@Geometry@Draw@NU@@
0x82015358	NU::Draw::Geometry::Skinning_P_4W32	.?AVSkinning_P_4W32@Geometry@Draw@NU@@@0;.?AVSkinningContext@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVSkinning_P_4W32@Geometry@Draw@NU@@
0x82015364	NU::Draw::Geometry::Skinning_PN_4W32	.?AVSkinning_PN_4W32@Geometry@Draw@NU@@@0;.?AVSkinningContext@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVSkinning_PN_4W32@Geometry@Draw@NU@@
0x82015370	NU::Draw::Geometry::Skinning_PNB_4W32	.?AVSkinning_PNB_4W32@Geometry@Draw@NU@@@0;.?AVSkinningContext@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVSkinning_PNB_4W32@Geometry@Draw@NU@@
0x8201537c	NU::Draw::Geometry::Skinning_PNBT_4W32	.?AVSkinning_PNBT_4W32@Geometry@Draw@NU@@@0;.?AVSkinningContext@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVSkinning_PNBT_4W32@Geometry@Draw@NU@@
0x8201539c	NU::Model::RequestNud10DrawRigid	.?AVRequestNud10DrawRigid@Model@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestNud10DrawRigid@Model@NU@@
0x820153bc	NU::Model::RequestNud10DrawSkin	.?AVRequestNud10DrawSkin@Model@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestNud10DrawSkin@Model@NU@@
0x820153dc	NU::Model::RequestNud20DrawRigid	.?AVRequestNud20DrawRigid@Model@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestNud20DrawRigid@Model@NU@@
0x820153fc	NU::Model::RequestNud20DrawSkin	.?AVRequestNud20DrawSkin@Model@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestNud20DrawSkin@Model@NU@@
0x8201541c	NU::Draw::Geometry::Morphing_P_4W32	.?AVMorphing_P_4W32@Geometry@Draw@NU@@@0;.?AVMorphingContextSkin@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVMorphing_P_4W32@Geometry@Draw@NU@@
0x82015428	NU::Draw::Geometry::Morphing_PN_4W32	.?AVMorphing_PN_4W32@Geometry@Draw@NU@@@0;.?AVMorphingContextSkin@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVMorphing_PN_4W32@Geometry@Draw@NU@@
0x82015434	NU::Draw::Geometry::Morphing_PNB_4W32	.?AVMorphing_PNB_4W32@Geometry@Draw@NU@@@0;.?AVMorphingContextSkin@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVMorphing_PNB_4W32@Geometry@Draw@NU@@
0x82015440	NU::Draw::Geometry::Morphing_PNBT_4W32	.?AVMorphing_PNBT_4W32@Geometry@Draw@NU@@@0;.?AVMorphingContextSkin@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVMorphing_PNBT_4W32@Geometry@Draw@NU@@
0x8201544c	NU::Draw::Geometry::Morphing_P	.?AVMorphing_P@Geometry@Draw@NU@@@0;.?AVMorphingContextRigid@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVMorphing_P@Geometry@Draw@NU@@
0x82015458	NU::Draw::Geometry::Morphing_PN	.?AVMorphing_PN@Geometry@Draw@NU@@@0;.?AVMorphingContextRigid@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVMorphing_PN@Geometry@Draw@NU@@
0x82015464	NU::Draw::Geometry::Morphing_PNB	.?AVMorphing_PNB@Geometry@Draw@NU@@@0;.?AVMorphingContextRigid@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVMorphing_PNB@Geometry@Draw@NU@@
0x82015470	NU::Draw::Geometry::Morphing_PNBT	.?AVMorphing_PNBT@Geometry@Draw@NU@@@0;.?AVMorphingContextRigid@Geometry@Draw@NU@@@0;.?AVRequestContext@Geometry@Draw@NU@@@0	.?AVMorphing_PNBT@Geometry@Draw@NU@@
0x82018874	swg::Controller	.?AVController@swg@@@0	.?AVController@swg@@
0x8201887c	swg::MovieController	.?AVMovieController@swg@@@0;.?AVController@swg@@@0	.?AVMovieController@swg@@
0x82018884	swg::ButtonController	.?AVButtonController@swg@@@0;.?AVController@swg@@@0	.?AVButtonController@swg@@
0x8204f794	ACE6::CAce6ThreadTimer	.?AVCAce6ThreadTimer@ACE6@@@0	.?AVCAce6ThreadTimer@ACE6@@
0x8204f7b4	CThreadTimer	.?AVCThreadTimer@@@0;.?AVCAce6ThreadTimer@ACE6@@@0	.?AVCThreadTimer@@
0x8204f8c4	ACE6::CAce6ArmsResource	.?AVCAce6ArmsResource@ACE6@@@0	.?AVCAce6ArmsResource@ACE6@@
0x8204f8d4	CX360ArmsResource	.?AVCX360ArmsResource@@@0;.?AVCAce6ArmsResource@ACE6@@@0	.?AVCX360ArmsResource@@
0x82054bc4	ACE6::CAce6GeneralTunerBase	.?AVCAce6GeneralTunerBase@ACE6@@@0	.?AVCAce6GeneralTunerBase@ACE6@@
0x82054bd0	CX360HudGeneralTuner	.?AVCX360HudGeneralTuner@@@0;.?AVCAce6GeneralTunerBase@ACE6@@@0	.?AVCX360HudGeneralTuner@@
0x82054bdc	ACE6::CAce62DPrimitiveBase	.?AVCAce62DPrimitiveBase@ACE6@@@0	.?AVCAce62DPrimitiveBase@ACE6@@
0x82054be8	ACE6::CAce62DSprite	.?AVCAce62DSprite@ACE6@@@0;.?AVCAce62DPrimitiveBase@ACE6@@@0	.?AVCAce62DSprite@ACE6@@
0x82054bf4	CX360HudRenderer	.?AVCX360HudRenderer@@@0	.?AVCX360HudRenderer@@
0x82054d94	galib::CGaLocator	.?AVCGaLocator@galib@@@0	.?AVCGaLocator@galib@@
0x82054d9c	galib::CGaObjDesc	.?AVCGaObjDesc@galib@@@0	.?AVCGaObjDesc@galib@@
0x82054da8	galib::CGaCamera	.?AVCGaCamera@galib@@@0	.?AVCGaCamera@galib@@
0x82054db0	ACE6::CAce6Thread	.?AVCAce6Thread@ACE6@@@0	.?AVCAce6Thread@ACE6@@
0x82054dbc	ACE6::Util::CTimer	.?AVCTimer@Util@ACE6@@@0	.?AVCTimer@Util@ACE6@@
0x82054dc4	ACE6::CAce6ObjDesc	.?AVCAce6ObjDesc@ACE6@@@0;.?AVCGaObjDesc@galib@@@0	.?AVCAce6ObjDesc@ACE6@@
0x82054dd0	ACE6::CAce6LockonChange	.?AVCAce6LockonChange@ACE6@@@0	.?AVCAce6LockonChange@ACE6@@
0x82054dd8	ACE6::CAce6ObjManager	.?AVCAce6ObjManager@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCAce6ObjManager@ACE6@@
0x82054dfc	ACE6::CAce6DdManager	.?AVCAce6DdManager@ACE6@@@0	.?AVCAce6DdManager@ACE6@@
0x82054e04	ACE6::CAce6TunnelManager	.?AVCAce6TunnelManager@ACE6@@@0	.?AVCAce6TunnelManager@ACE6@@
0x82054e0c	ACE6::CAce6PostEffectBase	.?AVCAce6PostEffectBase@ACE6@@@0	.?AVCAce6PostEffectBase@ACE6@@
0x82054e18	ACE6::CAce6ReplayManager	.?AVCAce6ReplayManager@ACE6@@@0	.?AVCAce6ReplayManager@ACE6@@
0x82054e40		.?AV?$CQueueReleaseBase@USReplayData@Replay@ACE6@@@Util@ACE6@@@0;.?AV?$CQueueBase@USReplayData@Replay@ACE6@@@Util@ACE6@@@0	.?AV?$CQueueReleaseBase@USReplayData@Replay@ACE6@@@Util@ACE6@@
0x82054e4c		.?AV?$CQueueStockBase@USReplayData@Replay@ACE6@@@Util@ACE6@@@0;.?AV?$CQueueBase@USReplayData@Replay@ACE6@@@Util@ACE6@@@0	.?AV?$CQueueStockBase@USReplayData@Replay@ACE6@@@Util@ACE6@@
0x82054e58	ACE6::CAce6ReplayManager::SStoreEnv	.?AUSStoreEnv@CAce6ReplayManager@ACE6@@@0	.?AUSStoreEnv@CAce6ReplayManager@ACE6@@
0x82054e60		.?AV?$CQueueBase@USReplayData@Replay@ACE6@@@Util@ACE6@@@0	.?AV?$CQueueBase@USReplayData@Replay@ACE6@@@Util@ACE6@@
0x82054e6c	ACE6::CAce6ArmsManager	.?AVCAce6ArmsManager@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCAce6ArmsManager@ACE6@@
0x82054f0c	ACE6::CAce6CameraManager	.?AVCAce6CameraManager@ACE6@@@0	.?AVCAce6CameraManager@ACE6@@
0x82054f14	ACE6::CAce6UnitManager	.?AVCAce6UnitManager@ACE6@@@0;.?AVCAce6Thread@ACE6@@@0	.?AVCAce6UnitManager@ACE6@@
0x82054f24	ACE6::CAce6Hud	.?AVCAce6Hud@ACE6@@@0;.?AVCAce6HudIF@ACE6@@@0;.?AVCAce6Thread@ACE6@@@4	.?AVCAce6Hud@ACE6@@
0x82054f6c	ACE6::CAce6Hud	.?AVCAce6Hud@ACE6@@@0;.?AVCAce6HudIF@ACE6@@@0;.?AVCAce6Thread@ACE6@@@4	.?AVCAce6Hud@ACE6@@
0x82054f7c	ACE6::CAce6MissionManager	.?AVCAce6MissionManager@ACE6@@@0	.?AVCAce6MissionManager@ACE6@@
0x82055044	ACE6::CAce6MissionManagerOnline	.?AVCAce6MissionManagerOnline@ACE6@@@0;.?AVCAce6MissionManager@ACE6@@@0;.?AV?$CFsm@VCAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@840	.?AVCAce6MissionManagerOnline@ACE6@@
0x82055144	ACE6::CAce6MissionManagerOnline	.?AVCAce6MissionManagerOnline@ACE6@@@0;.?AVCAce6MissionManager@ACE6@@@0;.?AV?$CFsm@VCAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@840	.?AVCAce6MissionManagerOnline@ACE6@@
0x8205514c		.?AV?$CFsm@VCAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@0	.?AV?$CFsm@VCAce6MissionManagerOnline@ACE6@@@Util@ACE6@@
0x82055154		.?AV?$CQueueStockBase@USPacketData@CAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@0;.?AV?$CQueueBase@USPacketData@CAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@0	.?AV?$CQueueStockBase@USPacketData@CAce6MissionManagerOnline@ACE6@@@Util@ACE6@@
0x82055160		.?AV?$CQueueBase@USPacketData@CAce6MissionManagerOnline@ACE6@@@Util@ACE6@@@0	.?AV?$CQueueBase@USPacketData@CAce6MissionManagerOnline@ACE6@@@Util@ACE6@@
